Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée
0014-B-1234-1312;;0014;14;1418;Géniaux;2;true;true
0014-B-1234-1312;;0014;14;1040;Donelière;20;true;true
0014-B-1234-1312;;0014;14;1425;Trois Croix;21;true;true
0014-B-1234-1312;;0014;14;1201;Vitré Foulon;37;true;true
0014-B-1234-1312;;0014;14;1176;Beaulieu INSA;40;true;true
0014-B-1234-2059;;0014;14;1418;Géniaux;2;true;true
0014-B-1234-2059;;0014;14;1422;Merlin;7;true;true
0014-B-1234-2059;;0014;14;1425;Trois Croix;21;true;true
0014-B-1234-2059;;0014;14;1625;Armorique;22;true;true
0014-B-1234-2059;;0014;14;1375;Les Gayeulles;30;true;true
0014-B-1234-2059;;0014;14;1032;Painlevé;34;true;true
0014-B-1234-2059;;0014;14;1202;Beaulieu Cité U;38;true;true
0014-B-1234-2059;;0014;14;1312;Beaulieu Chimie;41;true;true
0014-B-1234-2059;;0014;14;2020;Taillis;43;true;true
0014-B-1234-2059;;0014;14;2021;Hublais;44;true;true
0032-A-2859-1727;;0032;32;2821;Paul-Emile Victor;4;true;true
0032-A-2859-1727;;0032;32;2811;Cité des Jardins;5;true;true
0032-A-2859-1727;;0032;32;2847;Forge;6;true;true
0032-A-2859-1727;;0032;32;1411;Bellangerais;9;true;true
0032-A-2859-1727;;0032;32;1654;Motte Brûlon;10;true;true
0032-A-2859-1727;;0032;32;1656;Volney;11;true;true
0032-A-2859-1727;;0032;32;1560;Bourgeois;22;true;true
0032-A-2859-1727;;0032;32;1445;Clemenceau;25;true;true
0032-A-2859-1727;;0032;32;1622;Alma;28;true;true
0032-B-1727-2859;;0032;32;1623;Alma;2;true;true
0032-B-1727-2859;;0032;32;1471;Cimetière de l'Est;11;true;true
0034-A-1631-2059;;0034;34;9223;Cesson - Viasilva;3;true;true
0034-A-1631-2059;;0034;34;2075;Mare Pavée;7;true;true
0034-A-1631-2059;;0034;34;2148;Dézerseul;12;true;true
0034-A-1631-3028;;0034;34;2157;Gaudais;5;true;true
0034-A-1631-3028;;0034;34;2075;Mare Pavée;7;true;true
0034-A-1631-3028;;0034;34;3033;Breillou;22;true;true
0034-A-1631-3028;;0034;34;3001;Gériatrie;27;true;true
0034-B-2143-1631;;0034;34;2143;Monniais;1;true;true
0034-B-2143-1631;;0034;34;2006;Petits Champs;7;true;true
0034-B-2143-1631;;0034;34;2156;Gaudais;13;true;true
0034-B-2143-1631;;0034;34;9226;Cesson - Viasilva;15;true;true
0034-B-3028-1631;;0034;34;3027;Touche Annette;2;true;true
0034-B-3028-1631;;0034;34;3032;Gériatrie;3;true;true
0034-B-3028-1631;;0034;34;2065;Cesson Gare;15;true;true
0034-B-3028-1631;;0034;34;2040;Chalotais;16;true;true
0034-B-3028-1631;;0034;34;9226;Cesson - Viasilva;27;true;true
0037-A-1647-2201;;0037;37;1647;Henri Fréville;1;true;true
0037-A-1647-2201;;0037;37;2273;Jean Pont;3;true;true
0037-A-1647-2201;;0037;37;2278;Saint-Jacques - Gaîté;4;true;true
0037-A-1647-2201;;0037;37;2255;Bellevue;9;true;true
0037-B-2201-1647;;0037;37;2253;Reuzerais;6;true;true
0037-B-2201-1647;;0037;37;2252;Maffeys;7;true;true
0037-B-2201-1647;;0037;37;2274;Jean Pont;9;true;true
0038-A-2063-2107-2130;;0038;38;2063;Monniais;1;true;true
0038-A-2063-2107-2130;;0038;38;2107;Ménouriais;3;true;true
0047-A-2281-2309;;0047;C7ex;2281;Saint-Jacques - Gaîté;1;true;true
0047-A-2281-2309;;0047;C7ex;2315;Lande du Pont;2;true;true
0047-A-2281-2361;;0047;C7ex;2377;Corbières;2;true;true
0050-A-3301-9222;;0050;50;3301;Landelles;1;true;true
0050-A-3301-9222;;0050;50;3305;Bocage;5;true;true
0050-A-3301-9222;;0050;50;2071;Calendrou;10;true;true
0050-A-3301-9222-3308;;0050;50;3322;Curien;2;true;true
0050-A-3301-9222-3308;;0050;50;2071;Calendrou;11;true;true
0050-A-3301-9222-3308;;0050;50;9222;Cesson - Viasilva;14;true;true
0050-B-1563-3301;;0050;50;9227;Cesson - Viasilva;2;true;true
0050-B-1563-3301;;0050;50;2152;Touche Lambert;3;true;true
0050-B-1563-3301;;0050;50;3310;Portail;7;true;true
0050-B-1563-3301;;0050;50;3313;Bocage;10;true;true
0050-B-9227-3301;;0050;50;2115;Château de Vaux;3;true;true
0050-B-9227-3301;;0050;50;2072;Calendrou;4;true;true
0050-B-9227-3301;;0050;50;2073;Victoire;5;true;true
0050-B-9227-3301;;0050;50;3304;Anne de Bretagne;10;true;true
0050-B-9227-3301-3308;;0050;50;2115;Château de Vaux;3;true;true
0050-B-9227-3301-3308;;0050;50;2073;Victoire;5;true;true
0050-B-9227-3301-3308;;0050;50;3311;Fouillard;9;true;true
0051-A-2401-1723;;0051;51;2401;Champ Devant;1;true;true
0051-A-2401-1723;;0051;51;1159;Hôtel de Région;14;true;true
0051-A-2401-1723-2458;;0051;51;2410;Enseigne Abbaye;13;true;true
0051-A-2401-1723-2458;;0051;51;2827;Maison Blanche;15;true;true
0051-A-2401-1723-2458;;0051;51;1723;Les Gayeulles;18;true;true
0051-B-1556-3951;;0051;51;1723;Les Gayeulles;2;true;true
0051-B-1556-3951;;0051;51;2401;Champ Devant;16;true;true
0051-B-1556-3951;;0051;51;4602;Fonderies;24;true;true
0051-B-1723-2401;;0051;51;1428;Hôtel de Région;2;true;true
0051-B-1723-2401;;0051;51;1491;Saint-Laurent;3;true;true
0051-B-1723-2401;;0051;51;2829;Maison Blanche;4;true;true
0051-B-1723-2401-2451;;0051;51;2829;Maison Blanche;4;true;true
0051-B-1723-2401-2451;;0051;51;2416;Haye Renaud Gare;9;true;true
0051-B-1723-2401-2451;;0051;51;2417;Betton Centre;10;true;true
0051-B-1723-2401-2451;;0051;51;2451;Gentilhommière;11;true;true
0052-A-4069-1497;;0052;52;1543;Léonard;16;true;true
0052-A-4069-1497;;0052;52;1497;Villejean-Université;18;true;true
0052-A-4069-3732;;0052;52;4054;La Chapelle Centre;3;true;true
0052-A-4069-3732;;0052;52;3514;Fougerolle;7;true;true
0052-A-4069-3732;;0052;52;1543;Léonard;16;true;true
0052-A-4069-3732;;0052;52;1497;Villejean-Université;18;true;true
0052-A-4069-3732;;0052;52;3711;Vigne;27;true;true
0052-A-4069-3732;;0052;52;3712;Pont aux Moines;28;true;true
0052-A-4069-3732-4066;;0052;52;4053;Métairie;2;true;true
0052-A-4069-3732-4066;;0052;52;4054;La Chapelle Centre;3;true;true
0052-A-4069-3732-4066;;0052;52;3502;Pierre Texier;7;true;true
0052-A-4069-3732-4066;;0052;52;1493;Préfecture;16;true;true
0052-A-4069-3732-4066;;0052;52;1518;Bourbonnais;18;true;true
0052-A-4507-1553;;0052;52;4502;Gévezé Mairie;4;true;true
0052-A-4507-1553;;0052;52;1493;Préfecture;22;true;true
0052-A-4507-1553;;0052;52;1553;Villejean-Université;23;true;true
0052-B-1501-4507;;0052;52;1537;Léonard;4;true;true
0052-B-1501-4507;;0052;52;3510;Belle Epine;9;true;true
0052-B-1501-4507;;0052;52;4057;Sénestrais;15;true;true
0052-B-1501-4507;;0052;52;4059;La Chapelle Centre;17;true;true
0052-B-1553-4507;;0052;52;2860;Robiquette;5;true;true
0052-B-1553-4507;;0052;52;3513;Pierre Texier;11;true;true
0052-B-1553-4507;;0052;52;4059;La Chapelle Centre;16;true;true
0052-B-3732-1553;;0052;52;3708;Vigne;6;true;true
0052-B-3732-1553;;0052;52;3119;Pinault;11;true;true
0052-B-3732-4069;;0052;52;3705;Saint-Gilles Centre;4;true;true
0052-B-3732-4069;;0052;52;3707;Pont aux Moines;5;true;true
0052-B-3732-4069;;0052;52;3708;Vigne;6;true;true
0052-B-3732-4069;;0052;52;3103;Docteur Léon;9;true;true
0052-B-3732-4069;;0052;52;1553;Villejean-Université;15;true;true
0052-B-3732-4069;;0052;52;2830;Grand Quartier;18;true;true
0052-B-3732-4069-4067;;0052;52;3715;Clos des Cerisiers;3;true;true
0052-B-3732-4069-4067;;0052;52;3705;Saint-Gilles Centre;4;true;true
0052-B-3732-4069-4067;;0052;52;3707;Pont aux Moines;5;true;true
0052-B-3732-4069-4067;;0052;52;1517;Berry;13;true;true
0052-B-3732-4069-4067;;0052;52;2830;Grand Quartier;18;true;true
0052-B-3732-4069-4067;;0052;52;3513;Pierre Texier;25;true;true
0052-B-3732-4069-4067;;0052;52;3501;Fougerolle;26;true;true
0052-B-3732-4069-4067;;0052;52;4058;Viennais;28;true;true
0053-A-1167-1499;;0053;53;1414;Merlin;7;true;true
0053-A-1167-1499;;0053;53;1499;Colin;8;true;true
0053-A-1167-3765;;0053;53;1498;Petit Champeaux;9;true;true
0053-A-1167-4267;;0053;53;1217;Chèques Postaux;3;true;true
0053-A-1167-4267;;0053;53;1310;Marbeuf;5;true;true
0053-A-1167-4267;;0053;53;1498;Petit Champeaux;9;true;true
0053-A-1167-4267;;0053;53;3771;Champs Bleus;12;true;true
0053-A-1167-4267;;0053;53;4307;Clairefontaine;18;true;true
0053-A-1167-4267;;0053;53;4311;Hautière;22;true;true
0053-A-1167-4267;;0053;53;4255;Grippière;23;true;true
0053-A-1167-4267;;0053;53;4256;Piardière;24;true;true
0053-A-1167-4267-4302;;0053;53;1167;République;1;true;true
0053-A-1167-4267-4302;;0053;53;1217;Chèques Postaux;3;true;true
0053-A-1167-4267-4302;;0053;53;1499;Colin;8;true;true
0053-A-1167-4267-4302;;0053;53;3761;Tertre;11;true;true
0053-A-1167-4267-4302;;0053;53;3764;Vallée;15;true;true
0053-A-1167-4267-4302;;0053;53;3765;Haie de Terre;16;true;true
0053-A-1167-4267-4302;;0053;53;4267;Ville aux Archers;28;true;true
0053-A-1167-4408;;0053;53;1498;Petit Champeaux;9;true;true
0053-A-1167-4408;;0053;53;3761;Tertre;11;true;true
0053-A-1167-4408;;0053;53;3762;Vezin Centre;13;true;true
0053-A-1167-4408;;0053;53;3764;Vallée;15;true;true
0053-A-1167-4408;;0053;53;4315;Noë Biche;17;true;true
0053-A-1167-4408;;0053;53;4270;Ville aux Archers;27;true;true
0053-A-1167-4408;;0053;53;4670;Chêne Vert;28;true;true
0053-A-1167-4408;;0053;53;4408;Le Verger Eglise;31;true;true
0053-B-1503-1167;;0053;53;1503;Colin;1;true;true
0053-B-4267-1167;;0053;53;4264;Place de la Mairie;2;true;true
0053-B-4267-1167;;0053;53;4305;Village;9;true;true
0053-B-4267-1167;;0053;53;3754;Haie de Terre;12;true;true
0053-B-4267-1167;;0053;53;3770;Champs Bleus;16;true;true
0053-B-4267-1167;;0053;53;3759;Champ Noël;18;true;true
0053-B-4267-1167;;0053;53;1503;Colin;20;true;true
0053-B-4267-1167;;0053;53;1239;Chèques Postaux;25;true;true
0053-B-4267-1167-4302;;0053;53;4253;Piardière;4;true;true
0053-B-4267-1167-4302;;0053;53;4254;Grippière;5;true;true
0053-B-4267-1167-4302;;0053;53;4302;ESAT La Hautière;7;true;true
0053-B-4267-1167-4302;;0053;53;4303;L'Hermitage Gare;8;true;true
0053-B-4267-1167-4302;;0053;53;1503;Colin;21;true;true
0054-A-1214-4201;;0054;54;1540;Pont de Bretagne;2;true;true
0054-A-1567-2519;;0054;54;1567;Charles de Gaulle;1;true;true
0054-A-1567-2519;;0054;54;3766;Trois Marches;9;true;true
0054-A-1567-2519;;0054;54;2513;Les Pins;12;true;true
0054-A-1567-2519;;0054;54;2515;Genêts;14;true;true
0054-A-1567-2519;;0054;54;2543;Platanes;16;true;true
0054-A-1567-3869;;0054;54;2547;Clos Joury;18;true;true
0054-A-1567-3869;;0054;54;2541;Egalité;20;true;true
0054-A-1567-3869;;0054;54;3860;Grande Fontaine;22;true;true
0054-A-1567-3869;;0054;54;3861;Croix Ignon;23;true;true
0054-A-1567-3869;;0054;54;3864;Mordelles Mairie;26;true;true
0054-A-1567-3869;;0054;54;3865;Mordelles Eglise;27;true;true
0054-A-1567-4671;;0054;54;1506;Berthault;8;true;true
0054-A-1567-4671;;0054;54;2511;Plessix Saucourt;10;true;true
0054-A-1567-4671;;0054;54;2513;Les Pins;12;true;true
0054-A-1567-4671;;0054;54;2516;Bouleaux;15;true;true
0054-A-2515-4671;;0054;54;2515;Genêts;1;true;true
0054-A-2515-4671;;0054;54;2519;Lycée Monod;6;true;true
0054-B-2502-1567;;0054;54;2502;Lycée Monod;1;true;true
0054-B-2502-1567;;0054;54;2548;Clos Joury;2;true;true
0054-B-2502-1567;;0054;54;2505;Bouleaux;5;true;true
0054-B-2502-1567;;0054;54;2506;Genêts;6;true;true
0054-B-2502-1567;;0054;54;2507;Barberais;7;true;true
0054-B-2502-1567;;0054;54;1233;Lemaistre;13;true;true
0054-B-4671-1567;;0054;54;2507;Barberais;11;true;true
0054-B-4671-1567;;0054;54;2508;Les Pins;12;true;true
0054-B-4671-1567;;0054;54;1235;Géniaux;18;true;true
0054-B-4671-1567;;0054;54;1238;Guilloux Lorient;19;true;true
0054-B-4671-1567;;0054;54;1090;République;22;true;true
0055-A-1567-3851;;0055;55;1218;Guilloux Lorient;5;true;true
0055-A-1567-3851;;0055;55;3859;Vivier des Bois;13;true;true
0055-A-1567-3851;;0055;55;3860;Grande Fontaine;14;true;true
